sha,message,author,committer,url,total_changes,organization,repository
5731c6c88ef0c5a3cb7f9701a7fbcee2814febf3,Create read only copy if needed when opening a store path (#3156),Max Jones,GitHub,https://github.com/zarr-developers/zarr-python/commit/5731c6c88ef0c5a3cb7f9701a7fbcee2814febf3,128,zarr-developers,zarr-python
28368838c5787d9c373ea63e9713ea5e9c5ed490,Disable codecov PR annotations (#3166),Max Jones,GitHub,https://github.com/zarr-developers/zarr-python/commit/28368838c5787d9c373ea63e9713ea5e9c5ed490,4,zarr-developers,zarr-python
286bef86b040b76b458a2f4db2e3215fbd9457ac,Add with_read_only() convenience method to store (#3138),Max Jones,GitHub,https://github.com/zarr-developers/zarr-python/commit/286bef86b040b76b458a2f4db2e3215fbd9457ac,105,zarr-developers,zarr-python
11d488d731cd537b84ae394a943c39cb5b62638f,Support async FSMap objects in zarr.open (#2774),Max Jones,GitHub,https://github.com/zarr-developers/zarr-python/commit/11d488d731cd537b84ae394a943c39cb5b62638f,239,zarr-developers,zarr-python
a8d4f42720d9aa698adeaac1836793a43ee2ff87,Use context manager for temp dirs in store tests (#3110),Max Jones,GitHub,https://github.com/zarr-developers/zarr-python/commit/a8d4f42720d9aa698adeaac1836793a43ee2ff87,31,zarr-developers,zarr-python
260974832d3d2771ce8cf5b1ae67b95ab028c28d,Fix and test sharding with GPU buffers (#2978),Max Jones,GitHub,https://github.com/zarr-developers/zarr-python/commit/260974832d3d2771ce8cf5b1ae67b95ab028c28d,43,zarr-developers,zarr-python
5f49d24eb7ff1a463d954bdb5b3d14330b86cda5,Fix hatch matrix setup for minimal and optional dependencies (#2872),Max Jones,GitHub,https://github.com/zarr-developers/zarr-python/commit/5f49d24eb7ff1a463d954bdb5b3d14330b86cda5,36,zarr-developers,zarr-python
a0761ac5f2ce36f630a8c63a0505d5eb6d998311,fix: Special-case suffix requests in obstore backend to support Azure (#2994),Kyle Barron,GitHub,https://github.com/zarr-developers/zarr-python/commit/a0761ac5f2ce36f630a8c63a0505d5eb6d998311,92,zarr-developers,zarr-python
4ca76055ff1f280acfea9765796653c57725b244,"Add ManifestGroup, ManifestStore and ObjectStoreRegistry to the API docs (#566)",Max Jones,GitHub,https://github.com/zarr-developers/VirtualiZarr/commit/4ca76055ff1f280acfea9765796653c57725b244,46,zarr-developers,VirtualiZarr
ac011562324e327dfed0cf0e07a2c8356e73724f,Fix and check links (#626),Max Jones,GitHub,https://github.com/zarr-developers/VirtualiZarr/commit/ac011562324e327dfed0cf0e07a2c8356e73724f,32,zarr-developers,VirtualiZarr
c7c746526d4233e4bc6d9df25a1cc5281613d606,Change 'rectilinear' to 'structured' in FAQ (#579),Max Jones,GitHub,https://github.com/zarr-developers/VirtualiZarr/commit/c7c746526d4233e4bc6d9df25a1cc5281613d606,2,zarr-developers,VirtualiZarr
e0b2f1579f053758e77d8b734a3e4c4e46b400e4,Use mkdocs-material for documentation (#615),Max Jones,GitHub,https://github.com/zarr-developers/VirtualiZarr/commit/e0b2f1579f053758e77d8b734a3e4c4e46b400e4,1618,zarr-developers,VirtualiZarr
639e8d44592ff50ce28271ad863f2e341abb8f67,Remove unnecessary obstore import (#599),Max Jones,GitHub,https://github.com/zarr-developers/VirtualiZarr/commit/639e8d44592ff50ce28271ad863f2e341abb8f67,10,zarr-developers,VirtualiZarr
